경매번호,주소지,x,y,종류,면적,감정가,입찰가,입찰일,링크,크기,건물 면적,토지 면적,대지권 면적
2022 타경 1832(1),전북 부안군 부안읍 선은리 692 새만금와이-파크아파트 102동 3층 308호,126.7390254988,35.733814930189,아파트,건물 59.78㎡(18.08평) / 대지권 29.6㎡(8.95평),"98,000,000","48,020,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001832_001"">link</a>",10,18.08,0.0,8.95
2022 타경 1832(2),전북 부안군 부안읍 선은리 692 새만금와이-파크아파트 101동 4층 401호,126.7390254988,35.733814930189,아파트,건물 59.78㎡(18.08평) / 대지권 29.6㎡(8.95평),"98,000,000","48,020,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001832_002"">link</a>",10,18.08,0.0,8.95
2022 타경 1832(3),전북 부안군 부안읍 선은리 692 새만금와이-파크아파트 102동 5층 507호,126.7390254988,35.733814930189,아파트,건물 59.78㎡(18.08평) / 대지권 29.6㎡(8.95평),"99,000,000","48,510,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001832_003"">link</a>",10,18.08,0.0,8.95
2022 타경 1882,강원 홍천군 서면 대곡리 382 외 3개 목록,127.65396513639,37.639640944562,주택,건물 66.96㎡(20.26평) / 토지 5604㎡(1695.21평) / 제시외 47.56 ㎡,"808,355,440","396,094,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=501_20220001882_001"">link</a>",10,20.26,1695.21,0.0
2022 타경 1894,전북 부안군 진서면 곰소리 1005,126.61660063182,35.587387021498,대지,토지 1219.5㎡(368.9평),"607,311,000","297,583,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001894_001"">link</a>",10,0.0,368.9,0.0
2022 타경 1931,전북 정읍시 소성면 중광리 58 외 1개 목록,126.79644353889,35.534483413548,농가시설,건물 396㎡(119.79평) / 토지 3848㎡(1164.02평),"304,697,600","149,302,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001931_001"">link</a>",10,119.79,1164.02,0.0
2022 타경 1955(1),전북 정읍시 이평면 두전리 709-1,126.83119362548,35.681851870864,전,토지 453㎡(137.03평),"9,966,000","6,976,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001955_001"">link</a>",10,0.0,137.03,0.0
2022 타경 1955(2),전북 정읍시 이평면 두전리 711-1,126.83102456615,35.682449272671,전,토지 331㎡(100.13평),"7,282,000","5,097,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001955_002"">link</a>",10,0.0,100.13,0.0
2022 타경 1962,전북 부안군 변산면 격포리 648-5 외 2개 목록,126.46718282079,35.608699430702,임야,토지 1809.43㎡(547.35평),"875,313,670","612,720,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001962_001"">link</a>",10,0.0,547.35,0.0
2022 타경 1967,강원 홍천군 영귀미면 개운리 306 외 4개 목록,127.93974676699,37.668849248824,주택,건물 139.17㎡(42.1평) / 토지 2030㎡(614.08평) / 제시외 173.37 ㎡,"367,790,400","257,453,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=501_20220001967_001"">link</a>",10,42.1,614.08,0.0
2022 타경 1986,전북 부안군 하서면 청호리 953-1,126.64816611359,35.71714196512,답,토지 2272.7㎡(687.49평),"97,271,560","68,090,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220001986_001"">link</a>",10,0.0,687.49,0.0
2022 타경 1997,부산 수영구 남천동 57-3 헤리티지남천 2층 205호,129.1085114997,35.145855065355,다세대/빌라,건물 39.29㎡(11.89평) / 대지권 17.9㎡(5.41평),"174,000,000","111,360,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=602_20220001997_001"">link</a>",10,11.89,0.0,5.41
2022 타경 2002,전북 정읍시 시기동 451-16,126.85476554773,35.558911073357,주택,건물 44.63㎡(13.5평)제시외 39.9 ㎡,"11,751,200","8,226,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002002_001"">link</a>",10,13.5,0.0,0.0
2022 타경 2003,경남 거제시 남부면 갈곶리 246-1 외 1개 목록,128.66465305476,34.740861656343,근린주택,건물 429.47㎡(129.91평) / 토지 399㎡(120.7평),"719,854,800","460,707,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220002003_001"">link</a>",10,129.91,120.7,0.0
2022 타경 2009,전북 군산시 경암동 660-8 외 1개 목록,126.73248280816,35.977413679249,다가구 주택,건물 530.18㎡(160.38평) / 토지 310㎡(93.78평),"833,259,960","583,282,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C03_20220002009_001"">link</a>",10,160.38,93.78,0.0
2022 타경 2057,전북 고창군 신림면 자포리 1377-1 외 1개 목록,126.70243686962,35.474953186665,주택,건물 99.99㎡(30.25평) / 토지 655㎡(198.14평) / 제시외 36.6 ㎡,"148,794,780","104,156,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002057_001"">link</a>",10,30.25,198.14,0.0
2022 타경 2095,전북 정읍시 옹동면 비봉리 137 외 1개 목록,127.00203286263,35.626834400771,전,토지 1077㎡(325.79평),"16,505,000","11,554,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002095_001"">link</a>",10,0.0,325.79,0.0
2022 타경 2101(1),전남 무안군 몽탄면 대치리 산 29,126.48119070143,34.953192407265,임야,토지 18496㎡(5595.04평),"54,576,200","24,450,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=802_20220002101_001"">link</a>",10,0.0,5595.04,0.0
2022 타경 2101(2),전남 무안군 몽탄면 대치리 산 119,126.47924097769,34.944502800558,임야,토지 5206.5㎡(1574.97평),"18,713,100","8,383,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=802_20220002101_002"">link</a>",10,0.0,1574.97,0.0
2022 타경 2101(3),전남 무안군 몽탄면 대치리 산 160,126.46624753241,34.935879340208,임야,토지 11306㎡(3420.07평),"40,928,900","18,336,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=802_20220002101_003"">link</a>",10,0.0,3420.07,0.0
